"date","close","volume","open","high","low"

"2017/09/01","64.3800","1224667.0000","64.9000","65.1800","64.2100"
"2017/08/31","64.7200","1930071.0000","64.0000","64.8300","63.9000"
"2017/08/30","63.9000","1072530.0000","63.4000","63.9300","63.3900"
"2017/08/29","63.4900","1206619.0000","63.0400","63.6300","63.0210"
"2017/08/28","63.4600","1290434.0000","63.1000","63.5750","62.9700"
"2017/08/25","62.9000","1352761.0000","63.0600","63.1400","62.6700"
"2017/08/24","62.6800","1584503.0000","62.8700","63.1500","62.3500"
"2017/08/23","62.7700","1445677.0000","62.7200","63.3650","62.6000"
"2017/08/22","62.9600","1468769.0000","61.8700","63.0200","61.8500"
"2017/08/21","61.7400","1471215.0000","61.0900","62.0000","60.9600"
"2017/08/18","61.2500","2357872.0000","60.7600","61.7200","60.2800"
"2017/08/17","60.8600","3476626.0000","62.0000","62.0700","60.7800"
"2017/08/16","62.1400","6891670.0000","62.1500","62.4200","60.7600"
"2017/08/15","59.3800","2936609.0000","59.7000","59.8800","59.1100"
"2017/08/14","59.6200","2408120.0000","59.8000","60.0400","59.5500"
"2017/08/11","59.3300","1511552.0000","58.7000","59.7000","58.6900"
"2017/08/10","58.5700","2471473.0000","59.3500","59.5000","58.2200"
"2017/08/09","59.6800","1965045.0000","60.0700","60.2300","59.3800"
"2017/08/08","60.1400","1162340.0000","60.6700","60.9800","60.0800"
"2017/08/07","60.8700","975738.0000","60.1600","60.8900","60.0050"
"2017/08/04","60.1300","778762.0000","60.5200","60.7400","60.0100"
"2017/08/03","60.3700","983246.0000","60.1500","60.4400","59.9700"
"2017/08/02","60.2000","1121493.0000","60.0000","60.3300","59.5200"
"2017/08/01","59.9400","1324251.0000","60.0400","60.2899","59.8050"
"2017/07/31","59.7900","1043729.0000","60.3200","60.6200","59.7600"
"2017/07/28","60.0800","1236390.0000","59.9100","60.2300","59.6100"
"2017/07/27","59.9100","1944962.0000","59.8200","60.2400","59.6000"
"2017/07/26","59.7200","2520698.0000","60.5800","60.8100","59.3900"
"2017/07/25","60.5400","1691988.0000","61.5700","61.6600","60.3800"
"2017/07/24","61.5000","973808.0000","61.3800","61.5800","61.2500"
"2017/07/21","61.3700","1283236.0000","60.8300","61.6000","60.7600"
"2017/07/20","60.9800","1948270.0000","61.4500","61.5500","60.8100"
"2017/07/19","61.3800","1512177.0000","61.3200","61.6400","61.1700"
"2017/07/18","61.2100","1520122.0000","61.4300","61.5400","60.9500"
"2017/07/17","61.5500","1332751.0000","61.6000","61.8400","61.4000"
"2017/07/14","61.5200","1286073.0000","61.2800","61.6550","60.9150"
"2017/07/13","61.1900","2060109.0000","61.2500","61.3100","60.6700"
"2017/07/12","60.7300","1438995.0000","60.3300","60.9900","60.1600"
"2017/07/11","59.8000","2976519.0000","59.9900","60.1600","59.4600"
"2017/07/10","59.8600","1146033.0000","59.4800","60.0450","59.3800"
"2017/07/07","59.6300","936766.0000","59.5300","60.0700","59.3300"
"2017/07/06","59.2200","2249516.0000","59.4600","59.7700","59.0700"
"2017/07/05","59.7700","1638980.0000","59.1900","60.0500","59.1900"
"2017/07/03","59.1300","1489574.0000","59.5900","59.9800","59.1300"
"2017/06/30","59.3100","1593786.0000","59.0000","59.5700","58.8350"
"2017/06/29","58.8000","1357396.0000","59.3500","59.6300","58.4900"
"2017/06/28","59.4000","1191537.0000","59.2700","59.7000","59.2000"
"2017/06/27","58.8800","1060391.0000","59.1300","59.5700","58.8400"
"2017/06/26","59.2400","1526061.0000","59.7900","59.9500","59.1500"
"2017/06/23","59.7700","2879785.0000","60.5900","60.5900","59.5001"
"2017/06/22","60.6100","3473861.0000","59.9400","60.8000","59.6100"
"2017/06/21","59.7900","2247944.0000","60.3100","60.5300","59.6700"
"2017/06/20","60.3300","1821710.0000","60.5500","60.9200","60.2950"
"2017/06/19","60.5500","2383659.0000","59.5800","60.6700","59.5800"
"2017/06/16","59.5100","2157514.0000","59.3700","59.7900","59.2350"
"2017/06/15","59.2100","1092596.0000","59.2200","59.2900","58.8200"
"2017/06/14","59.3800","1202777.0000","59.5400","59.7800","59.0500"
"2017/06/13","59.2800","1527210.0000","59.0700","59.6400","58.9300"
"2017/06/12","58.9900","2579648.0000","59.1400","59.4100","57.9200"
"2017/06/09","59.2100","2352814.0000","60.3100","60.4500","59.1300"
"2017/06/08","60.1500","3481613.0000","60.6200","60.7250","59.7100"
"2017/06/07","60.6300","1617604.0000","60.2600","60.7650","59.9800"
"2017/06/06","60.1000","1968022.0000","60.1400","60.5450","60.1000"
"2017/06/05","60.4000","1473282.0000","60.8000","60.8400","60.3300"
"2017/06/02","60.8100","1666245.0000","60.8000","61.1500","60.7600"
"2017/06/01","60.7300","2100241.0000","60.0100","60.7700","59.8100"
