"date","close","volume","open","high","low"

"2017/09/01","45.3100","4560975.0000","44.8500","45.4700","44.6500"
"2017/08/31","44.7400","3799575.0000","44.5400","44.9400","44.4300"
"2017/08/30","44.3200","5464438.0000","44.5400","44.7650","43.8900"
"2017/08/29","44.5600","5195161.0000","44.5300","44.8500","44.3800"
"2017/08/28","44.9500","6959740.0000","45.2300","45.3718","44.7800"
"2017/08/25","45.2500","11737560.0000","43.0900","45.4300","43.0100"
"2017/08/24","42.9200","7055888.0000","44.1300","44.1500","42.6700"
"2017/08/23","43.9700","8158201.0000","45.1700","45.2431","43.5200"
"2017/08/22","45.4100","4019625.0000","45.8500","45.9300","45.3250"
"2017/08/21","45.7100","4333056.0000","45.7300","46.0900","45.4100"
"2017/08/18","45.5500","6239807.0000","46.3000","46.3000","45.4400"
"2017/08/17","46.0300","10282980.0000","48.2500","48.3400","45.7950"
"2017/08/16","48.4100","4186030.0000","48.6400","48.7300","48.2700"
"2017/08/15","48.5200","3165710.0000","48.7600","49.0000","48.3500"
"2017/08/14","48.8100","2987388.0000","48.8600","49.1700","48.5000"
"2017/08/11","48.3500","5607589.0000","48.5000","48.7850","47.4400"
"2017/08/10","48.5500","5410623.0000","49.0300","49.3400","48.1900"
"2017/08/09","49.4000","5020404.0000","49.7400","49.9200","49.2300"
"2017/08/08","50.0000","4268721.0000","50.6800","50.7800","49.8900"
"2017/08/07","50.5800","3016671.0000","50.8200","51.1300","50.4600"
"2017/08/04","50.8000","2993445.0000","50.6700","50.9200","50.3852"
"2017/08/03","50.5500","3224888.0000","50.5600","51.1950","50.3600"
"2017/08/02","50.4500","4679325.0000","50.8900","51.1800","49.9000"
"2017/08/01","51.0600","5041377.0000","51.1300","52.0000","50.3236"
"2017/07/31","50.4400","6003725.0000","50.8500","51.2300","50.0350"
"2017/07/28","50.4900","9148205.0000","49.0200","50.6700","48.7300"
"2017/07/27","50.0000","10242540.0000","50.3400","50.3400","48.7500"
"2017/07/26","51.0100","4760887.0000","50.6300","51.1650","50.0100"
"2017/07/25","50.6100","4453916.0000","51.5000","51.9000","50.5450"
"2017/07/24","51.2800","4875452.0000","51.7900","52.0300","51.2400"
"2017/07/21","51.9100","4544423.0000","52.1300","52.5500","51.4500"
"2017/07/20","52.3400","4796207.0000","52.7200","52.7800","52.1000"
"2017/07/19","52.6100","5773345.0000","52.2600","53.1900","51.7800"
"2017/07/18","53.1500","4092821.0000","53.8300","53.8400","53.0200"
"2017/07/17","53.8700","3727704.0000","54.2100","54.2800","53.8500"
"2017/07/14","54.2200","4537274.0000","53.8000","54.2800","53.3400"
"2017/07/13","53.8100","5346296.0000","53.4000","54.4800","53.1500"
"2017/07/12","53.8000","8344499.0000","53.1200","53.8250","52.4500"
"2017/07/11","51.6100","4538372.0000","52.5800","52.6600","51.4700"
"2017/07/10","52.6600","4599609.0000","52.9800","53.1600","52.2300"
"2017/07/07","53.0300","6522441.0000","52.3000","53.3800","52.1800"
"2017/07/06","52.0500","7020202.0000","50.9700","52.5800","50.8600"
"2017/07/05","51.2600","5157496.0000","50.4400","51.5450","50.1800"
"2017/07/03","50.3900","2906524.0000","50.7800","51.2800","50.3700"
"2017/06/30","50.3200","6616551.0000","49.9200","50.5100","49.6000"
"2017/06/29","49.6200","6165334.0000","49.2800","49.6850","48.8200"
"2017/06/28","49.2500","4258821.0000","48.8200","49.7956","48.8100"
"2017/06/27","48.5000","4262913.0000","48.6000","49.5550","48.5000"
"2017/06/26","48.7800","3992851.0000","48.8100","49.7800","48.5350"
"2017/06/23","48.6300","12681700.0000","49.0000","49.1000","48.4700"
"2017/06/22","48.9700","9789532.0000","50.5000","50.5600","48.7900"
"2017/06/21","48.4300","3468467.0000","48.3300","48.6400","48.1300"
"2017/06/20","48.0300","6020790.0000","49.2200","49.3600","48.0100"
"2017/06/19","49.6600","4080653.0000","49.1300","49.7200","48.8150"
"2017/06/16","48.7900","6621277.0000","48.9000","49.4500","48.6200"
"2017/06/15","49.1100","4579626.0000","49.1400","49.3200","48.3700"
"2017/06/14","49.3900","4027698.0000","49.6400","49.7801","48.8900"
"2017/06/13","49.4500","5151121.0000","49.5600","49.9100","48.8400"
"2017/06/12","49.4800","8597571.0000","50.1000","50.2200","48.1000"
"2017/06/09","50.2700","7204319.0000","51.6100","51.9500","50.2500"
"2017/06/08","51.4300","6536539.0000","50.8600","51.8700","50.4100"
"2017/06/07","50.8600","7077277.0000","49.4400","50.9100","48.8000"
"2017/06/06","49.7400","4472956.0000","49.4700","50.1000","49.3200"
"2017/06/05","49.7400","5466635.0000","49.5300","49.9500","49.4000"
"2017/06/02","49.5200","7700637.0000","49.5600","50.4700","49.3700"
"2017/06/01","49.0500","4421254.0000","48.5000","49.3600","48.3000"
"2017/05/31","48.4100","4486009.0000","48.2000","48.4800","47.5300"
"2017/05/30","47.9600","5512804.0000","48.3200","48.5775","47.7900"
"2017/05/26","48.7400","5979304.0000","47.7900","48.8200","47.7294"
"2017/05/25","48.0200","5441176.0000","46.9900","48.1200","46.8200"
"2017/05/24","46.7700","3889795.0000","46.7400","47.4300","46.6500"
"2017/05/23","46.6600","3008501.0000","46.2700","46.6900","45.9400"
"2017/05/22","46.2100","4415460.0000","45.3300","46.2500","45.3300"
"2017/05/19","45.2200","6736648.0000","44.8000","45.3800","44.7400"
"2017/05/18","44.6500","6619110.0000","44.4000","45.4000","44.3800"
"2017/05/17","44.9200","6905685.0000","46.2500","46.5600","44.8800"
"2017/05/16","46.9400","4625090.0000","46.7900","47.1329","44.7400"
"2017/05/15","46.6800","5525982.0000","45.7000","46.9900","45.6900"
"2017/05/12","45.8300","3879824.0000","46.2600","46.4400","45.7300"
"2017/05/11","46.5400","6076706.0000","47.2100","47.2400","45.6500"
"2017/05/10","47.3000","7379826.0000","47.0300","47.7800","46.6700"
"2017/05/09","47.0800","11113210.0000","45.4000","47.3000","45.2500"
"2017/05/08","44.9400","6190660.0000","44.6000","45.0450","44.5150"
"2017/05/05","44.5100","5462768.0000","44.0000","44.5200","43.7700"
"2017/05/04","43.9100","4475853.0000","44.1800","44.3900","43.1950"
"2017/05/03","43.9200","5136189.0000","43.6700","44.1700","43.4200"
"2017/05/02","43.8700","9322127.0000","42.0600","43.9100","42.0500"
"2017/05/01","42.0800","8574200.0000","42.7600","42.9600","42.0100"
"2017/04/28","42.6200","13347460.0000","44.0200","44.0600","42.5600"
"2017/04/27","43.9800","18979530.0000","43.9100","44.2100","42.4100"
"2017/04/26","46.4000","6009934.0000","46.5100","46.9000","46.2400"
"2017/04/25","46.6100","5959502.0000","46.8000","47.3900","46.3800"
"2017/04/24","46.4400","6335098.0000","45.5000","46.4400","45.4700"
"2017/04/21","45.1500","5535984.0000","45.5000","45.5000","44.9850"
"2017/04/20","45.2200","4956278.0000","44.7100","45.3800","44.5600"
"2017/04/19","44.4000","6573438.0000","44.0700","44.7750","43.9000"
"2017/04/18","43.8100","5809167.0000","44.0300","44.5300","43.4000"
"2017/04/17","44.2300","4552926.0000","43.4700","44.2500","43.3600"
"2017/04/13","43.3500","5493275.0000","43.9500","44.0200","43.3350"
"2017/04/12","43.9600","9990500.0000","44.7900","45.3500","43.8300"
"2017/04/11","43.9300","10264670.0000","42.7800","43.9500","42.4120"
"2017/04/10","42.3200","4648222.0000","41.8100","42.6700","41.6200"
"2017/04/07","41.8100","4136988.0000","41.5300","42.1000","41.2800"
"2017/04/06","41.7200","3627406.0000","41.4000","41.9600","41.1600"
"2017/04/05","41.3100","7010019.0000","41.1500","42.1300","41.0600"
"2017/04/04","40.9000","7251793.0000","42.0900","42.2300","40.8200"
"2017/04/03","42.4500","5764716.0000","42.3300","42.5700","41.6250"
"2017/03/31","42.3000","5427248.0000","42.3700","42.9400","42.2745"
"2017/03/30","42.5400","3681204.0000","41.8500","42.6400","41.7900"
