"date","close","volume","open","high","low"

"2017/09/01","98.0600","1095568.0000","98.3100","99.4300","97.6500"
"2017/08/31","97.9000","1913359.0000","97.2900","98.6100","96.8400"
"2017/08/30","96.8100","1441056.0000","95.1200","98.0800","95.1200"
"2017/08/29","95.1200","1749388.0000","93.9000","95.3100","93.1000"
"2017/08/28","94.6600","1108307.0000","95.9400","96.3100","93.9500"
"2017/08/25","95.8000","1633170.0000","93.4900","97.8400","93.0000"
"2017/08/24","93.1000","1407762.0000","94.1800","95.2500","92.3600"
"2017/08/23","93.5400","1775610.0000","95.2900","95.9600","93.1000"
"2017/08/22","95.8000","2074910.0000","95.2300","96.7500","95.0700"
"2017/08/21","95.1900","1968179.0000","93.9300","95.9500","93.5200"
"2017/08/18","93.2600","3072264.0000","92.8400","95.0000","92.1300"
"2017/08/17","92.8500","4668892.0000","90.7500","95.4900","90.1800"
"2017/08/16","91.5100","6530756.0000","86.5600","92.8500","86.5501"
"2017/08/15","87.0800","19736880.0000","91.9900","93.0000","82.2100"
"2017/08/14","109.3200","2126362.0000","107.8800","109.8100","106.3300"
"2017/08/11","107.3400","1903388.0000","106.0900","107.4700","105.2400"
"2017/08/10","106.1300","1808870.0000","108.4400","108.8200","105.2500"
"2017/08/09","109.1800","938419.0000","109.2400","110.2800","108.4100"
"2017/08/08","109.3900","863575.0000","109.5100","110.8100","108.2900"
"2017/08/07","109.4900","1435339.0000","110.8600","111.1700","108.2000"
"2017/08/04","111.0100","944082.0000","111.1300","111.8500","110.3000"
"2017/08/03","110.5300","1812659.0000","114.2700","115.4000","110.4500"
"2017/08/02","114.4800","1775193.0000","113.6800","114.8800","113.4600"
"2017/08/01","114.0500","1512919.0000","112.0000","114.1000","110.8200"
"2017/07/31","112.0100","1979595.0000","111.6100","112.9000","110.5536"
"2017/07/28","110.2100","1033123.0000","109.9000","111.1900","109.2500"
"2017/07/27","110.3400","2185257.0000","108.0500","110.5400","107.2400"
"2017/07/26","106.7000","1700145.0000","105.7300","107.4800","105.1810"
"2017/07/25","105.2900","1249098.0000","103.5900","105.9600","103.4700"
"2017/07/24","103.1700","1413335.0000","105.1100","105.2000","103.1200"
"2017/07/21","105.2700","1216390.0000","103.3700","105.4600","103.3600"
