"date","close","volume","open","high","low"

"2017/09/01","130.1000","1528282.0000","130.9500","130.9500","129.8700"
"2017/08/31","130.7600","2003487.0000","130.0000","130.9200","129.8300"
"2017/08/30","129.7900","1149129.0000","129.6500","129.9600","129.0900"
"2017/08/29","129.6600","1170731.0000","128.4700","129.9850","128.2900"
"2017/08/28","129.2400","999865.0000","129.7100","129.9000","129.0200"
"2017/08/25","129.3900","1252413.0000","129.3200","129.7800","129.1800"
"2017/08/24","128.6700","1099007.0000","128.5900","129.0814","128.2700"
"2017/08/23","128.3600","1543275.0000","128.6800","129.1400","128.2800"
"2017/08/22","129.3100","959492.0000","128.5600","129.4700","127.9900"
"2017/08/21","128.1700","1282803.0000","127.4900","128.3100","127.2600"
"2017/08/18","127.4400","1263534.0000","127.7300","128.2900","127.2700"
"2017/08/17","127.5900","1522889.0000","129.8800","130.0300","127.5600"
"2017/08/16","130.0300","1935454.0000","129.6600","130.4900","129.4000"
"2017/08/15","129.3800","1152464.0000","129.4100","129.8000","128.7400"
"2017/08/14","129.6900","1421557.0000","128.8800","129.8700","128.6300"
"2017/08/11","128.2000","1105546.0000","128.6700","128.7100","128.1200"
"2017/08/10","128.2400","1800865.0000","129.2200","129.7800","128.1900"
"2017/08/09","129.6200","1216883.0000","129.0100","129.7800","128.9200"
"2017/08/08","129.1300","1099387.0000","129.3200","129.8900","128.9401"
"2017/08/07","129.6800","952917.0000","129.8300","130.3500","129.3800"
"2017/08/04","130.2000","1283185.0000","130.0600","130.6700","129.5400"
"2017/08/03","130.0200","3560416.0000","129.2200","130.2800","127.9900"
"2017/08/02","128.6200","1318334.0000","129.7000","129.8400","128.5300"
"2017/08/01","129.8600","3465682.0000","129.1000","129.8900","128.9500"
"2017/07/31","128.8200","1550364.0000","128.5000","129.1600","128.1900"
"2017/07/28","128.4000","1133850.0000","127.9800","128.5300","127.3100"
"2017/07/27","128.1600","2096970.0000","129.7000","129.7000","127.4200"
"2017/07/26","129.5100","1615311.0000","129.0000","129.6100","128.7350"
"2017/07/25","128.9500","1599254.0000","128.2500","129.3100","127.6800"
"2017/07/24","128.0100","1763242.0000","128.2700","128.5000","127.5900"
"2017/07/21","128.8500","1765383.0000","128.5400","128.9550","128.0100"
"2017/07/20","128.5400","1640116.0000","127.9000","128.7599","127.6500"
"2017/07/19","127.7800","2275298.0000","127.5000","128.0000","126.7200"
"2017/07/18","127.3700","1641350.0000","126.2500","127.5700","125.4800"
"2017/07/17","126.4200","2005625.0000","126.7700","127.0500","126.1500"
"2017/07/14","126.7000","1752903.0000","126.1900","126.9600","125.7300"
"2017/07/13","125.7300","1713698.0000","125.7000","126.3500","125.4400"
"2017/07/12","125.4700","2017856.0000","124.3000","125.4800","124.1200"
"2017/07/11","123.8500","1379754.0000","124.0600","124.1000","123.2000"
"2017/07/10","124.0600","1301531.0000","124.0500","124.3700","123.5900"
"2017/07/07","124.2100","1834230.0000","123.5500","124.7500","123.0700"
"2017/07/06","122.9400","1938109.0000","123.3500","123.6300","122.0300"
"2017/07/05","124.0500","1328583.0000","124.0000","124.7800","123.9900"
"2017/07/03","123.9300","1236153.0000","123.8200","124.8800","123.7900"
"2017/06/30","123.6800","2290346.0000","123.3000","124.4000","123.1500"
"2017/06/29","122.9900","2687013.0000","123.5000","123.5000","122.6100"
"2017/06/28","123.7400","1727503.0000","122.7800","123.8300","122.1900"
"2017/06/27","122.1900","2215255.0000","122.5000","122.8400","122.0000"
"2017/06/26","122.3400","2619204.0000","123.1500","124.0500","122.2800"
"2017/06/23","122.7400","3817014.0000","122.1400","123.6200","121.7200"
"2017/06/22","122.0800","8690685.0000","122.9700","123.9000","119.1000"
"2017/06/21","127.1100","3252382.0000","127.0700","127.1800","126.0300"
"2017/06/20","126.5300","2356430.0000","127.3300","127.6400","126.3800"
"2017/06/19","127.7700","1985885.0000","128.4700","128.4700","127.3900"
"2017/06/16","127.5600","2965223.0000","127.5200","128.0000","126.5300"
"2017/06/15","127.0300","2192762.0000","126.2800","127.3600","124.5000"
"2017/06/14","127.2500","1861213.0000","127.8000","128.0000","126.7000"
"2017/06/13","127.0700","2434069.0000","126.4400","127.5600","126.0800"
"2017/06/12","126.3000","2355868.0000","125.5300","126.4600","124.7300"
"2017/06/09","125.8200","1929206.0000","126.0000","126.7400","124.9800"
"2017/06/08","126.1700","2119217.0000","126.9700","127.0000","125.5200"
"2017/06/07","126.5500","1640398.0000","126.0800","126.7700","125.5300"
"2017/06/06","126.3300","1513552.0000","126.1900","127.0000","126.0100"
"2017/06/05","126.5800","1949952.0000","126.0000","126.9800","125.4401"
"2017/06/02","125.7400","1765967.0000","125.3700","125.9800","124.8910"
"2017/06/01","125.2900","1902558.0000","124.9300","125.2900","123.8600"
"2017/05/31","124.4700","2655628.0000","124.0000","124.6000","123.5250"
"2017/05/30","123.7700","1373030.0000","122.6100","123.9700","122.3500"
"2017/05/26","122.8900","1415082.0000","122.9400","123.1100","122.5200"
"2017/05/25","123.1000","1425580.0000","122.7500","123.5600","122.2000"
"2017/05/24","121.9500","2029654.0000","120.4300","122.1500","120.3000"
"2017/05/23","122.1500","1472731.0000","122.8600","123.0700","121.8000"
"2017/05/22","122.7100","1912490.0000","121.6000","122.8400","121.2200"
"2017/05/19","120.9800","2190103.0000","121.0100","121.2100","120.1900"
"2017/05/18","120.4000","1968786.0000","120.8600","121.0300","119.4100"
"2017/05/17","120.4400","2277894.0000","122.2000","123.0700","120.3400"
"2017/05/16","123.1400","2180617.0000","122.6900","123.3100","122.2200"
"2017/05/15","122.2500","1764183.0000","120.9600","122.5400","120.7601"
"2017/05/12","120.9600","2362290.0000","120.3800","121.5000","120.3800"
"2017/05/11","120.8000","1835224.0000","120.7500","120.9000","119.6700"
"2017/05/10","121.2000","1343589.0000","121.0700","121.3700","120.5600"
"2017/05/09","121.0700","1094392.0000","121.3000","121.6300","120.9100"
"2017/05/08","121.1100","1522399.0000","121.1000","121.5200","120.7600"
"2017/05/05","121.5200","1716890.0000","120.9100","121.5200","120.7650"
"2017/05/04","120.8200","1557495.0000","120.7500","120.9900","120.2200"
"2017/05/03","120.3000","1762147.0000","120.4300","120.8700","119.6650"
