"date","close","volume","open","high","low"

"2017/09/01","155.0600","1321340.0000","155.7600","156.0600","154.3800"
"2017/08/31","155.1600","1888726.0000","154.3600","155.3600","154.3500"
"2017/08/30","153.6700","1465862.0000","152.0500","154.2600","151.8900"
"2017/08/29","152.1400","1189020.0000","150.5500","152.7600","150.0100"
"2017/08/28","151.7900","952268.0000","151.8700","152.5000","151.1900"
"2017/08/25","151.4500","1182282.0000","152.0000","153.0000","150.9100"
"2017/08/24","150.8100","1449167.0000","151.2200","151.8300","149.1700"
"2017/08/23","151.1000","1352927.0000","152.1800","152.1800","150.7500"
"2017/08/22","152.2500","1981080.0000","150.1400","152.5900","150.1400"
"2017/08/21","149.2600","1243422.0000","148.0500","149.3300","147.5700"
"2017/08/18","147.9700","1699238.0000","147.7400","148.6862","147.1200"
"2017/08/17","148.2300","2085227.0000","151.6600","151.7200","148.1900"
"2017/08/16","151.8000","1454988.0000","150.7000","151.9900","149.7600"
"2017/08/15","150.3600","1144008.0000","149.5600","150.6500","148.4100"
"2017/08/14","149.1600","1171641.0000","147.8100","149.5000","147.5600"
"2017/08/11","146.4700","1382877.0000","145.2500","147.1000","144.1800"
"2017/08/10","144.9200","1899120.0000","147.2300","147.7400","144.7200"
"2017/08/09","148.3500","1174669.0000","146.6800","148.4986","146.5000"
"2017/08/08","147.8100","1507057.0000","148.1400","148.8600","146.3600"
"2017/08/07","148.4400","1455624.0000","147.7400","148.9000","147.5400"
"2017/08/04","147.7100","1503479.0000","148.2500","148.6200","147.2700"
"2017/08/03","147.7900","1461659.0000","147.4700","147.9800","145.6800"
"2017/08/02","147.1300","2110729.0000","147.5600","147.6000","144.5200"
"2017/08/01","147.3600","1568434.0000","147.4800","147.6500","146.5200"
"2017/07/31","146.4900","2187991.0000","146.3600","146.9100","145.0600"
"2017/07/28","146.7300","1399323.0000","145.7700","147.2400","144.5000"
"2017/07/27","146.2000","3058057.0000","149.8700","150.3700","144.2800"
"2017/07/26","149.7800","1309672.0000","148.6200","149.8300","148.4200"
"2017/07/25","148.2100","1591503.0000","149.8200","149.9041","148.1400"
"2017/07/24","149.5300","1503264.0000","149.1600","149.9500","149.0350"
"2017/07/21","149.5200","1819520.0000","149.1600","150.4000","148.9102"
"2017/07/20","149.9400","1562656.0000","149.0700","150.1000","148.3500"
"2017/07/19","148.9200","1798166.0000","147.8900","149.3200","147.4998"
"2017/07/18","147.8900","1820795.0000","146.4700","147.9600","145.3700"
"2017/07/17","146.4000","1310388.0000","146.1600","146.7300","145.3900"
"2017/07/14","146.1600","2283740.0000","145.5900","146.4800","145.2200"
"2017/07/13","145.0500","1308275.0000","145.9100","146.4800","144.9350"
"2017/07/12","145.9100","1811856.0000","144.0000","146.1900","143.7950"
"2017/07/11","142.9300","1623692.0000","142.9900","143.9800","142.1201"
"2017/07/10","143.3400","1569060.0000","142.2100","143.8800","141.5700"
"2017/07/07","142.2200","1471962.0000","141.0700","143.3600","140.9700"
"2017/07/06","140.7500","1802183.0000","139.7300","141.1800","138.8800"
"2017/07/05","141.2100","2229424.0000","138.6500","141.9700","138.5500"
"2017/07/03","138.4100","1785994.0000","141.7300","142.1500","138.3100"
"2017/06/30","141.4400","2330954.0000","141.8700","142.8100","140.7400"
"2017/06/29","141.2400","2652965.0000","143.0600","143.2000","139.6500"
