"date","close","volume","open","high","low"

"2017/09/01","11.1200","2410622.0000","11.0800","11.1750","11.0700"
"2017/08/31","11.0400","3912996.0000","11.0700","11.1400","11.0300"
"2017/08/30","11.0600","4393291.0000","11.1500","11.2000","11.0300"
"2017/08/29","11.1700","3624411.0000","11.1900","11.2700","11.1500"
"2017/08/28","11.1900","4903669.0000","11.4700","11.4900","11.1300"
"2017/08/25","11.4300","2562969.0000","11.4200","11.5200","11.3700"
"2017/08/24","11.4000","4933591.0000","11.3600","11.4300","11.3200"
"2017/08/23","11.3500","2914410.0000","11.3400","11.4000","11.2500"
"2017/08/22","11.3500","4243865.0000","11.2300","11.3800","11.1800"
"2017/08/21","11.2300","3785502.0000","11.1000","11.2400","11.0850"
"2017/08/18","11.0700","4446630.0000","11.0200","11.1200","10.9850"
"2017/08/17","11.0100","3765151.0000","11.1400","11.2250","11.0000"
"2017/08/16","11.1800","3108508.0000","11.1300","11.1900","11.1000"
"2017/08/15","11.1000","4525839.0000","11.0500","11.1100","10.9400"
"2017/08/14","11.1100","4860104.0000","11.1200","11.1500","10.9950"
"2017/08/11","11.1000","4799966.0000","11.3400","11.3400","11.0000"
"2017/08/10","11.3800","8965436.0000","11.2500","11.4950","11.1800"
"2017/08/09","11.2500","7057420.0000","11.4500","11.4500","11.1200"
"2017/08/08","11.3800","11146370.0000","11.0100","11.6600","11.0100"
"2017/08/07","11.1000","6061879.0000","11.0800","11.2800","11.0700"
"2017/08/04","11.0800","3612191.0000","11.0800","11.1600","10.9550"
"2017/08/03","11.1200","7349194.0000","11.1400","11.2400","11.0600"
"2017/08/02","11.0500","6518070.0000","11.1500","11.1600","10.9200"
"2017/08/01","11.2000","6287206.0000","11.0600","11.2300","11.0000"
"2017/07/31","11.1800","17399720.0000","11.0000","11.2600","10.9900"
"2017/07/28","10.9800","4831606.0000","11.0900","11.1100","10.9600"
"2017/07/27","11.1000","5362736.0000","11.1600","11.2400","11.0200"
"2017/07/26","11.1600","5336231.0000","11.2400","11.2400","11.0400"
"2017/07/25","11.2400","4625031.0000","11.3500","11.3600","11.2200"
"2017/07/24","11.3200","2896926.0000","11.4200","11.4500","11.3110"
"2017/07/21","11.4200","3197342.0000","11.3800","11.4400","11.3300"
"2017/07/20","11.3700","2714017.0000","11.3500","11.4256","11.2600"
"2017/07/19","11.3200","3800447.0000","11.2800","11.3350","11.2100"
"2017/07/18","11.2400","4629801.0000","11.1200","11.3000","11.0900"
"2017/07/17","11.1200","3358420.0000","11.0500","11.1250","10.9700"
"2017/07/14","11.0300","4242806.0000","11.1100","11.1500","11.0050"
"2017/07/13","11.0200","5105422.0000","11.1200","11.2300","11.0000"
"2017/07/12","11.1000","6016561.0000","11.0900","11.2200","10.9900"
"2017/07/11","10.9300","4824000.0000","10.9500","10.9850","10.8700"
"2017/07/10","10.9400","6330214.0000","10.8500","10.9800","10.8000"
"2017/07/07","10.7600","5476349.0000","10.6900","10.7700","10.6250"
"2017/07/06","10.6800","5693826.0000","10.8100","10.8250","10.6000"
"2017/07/05","10.8700","5348835.0000","11.0000","11.0900","10.8500"
"2017/07/03","11.0100","2754924.0000","11.1500","11.1900","10.9600"
"2017/06/30","11.1100","4224447.0000","11.1800","11.2470","11.1100"
"2017/06/29","11.1600","5909021.0000","11.2500","11.3100","11.1100"
"2017/06/28","11.3300","6527694.0000","11.5400","11.6000","11.2700"
"2017/06/27","11.5000","4684257.0000","11.6500","11.7200","11.5000"
"2017/06/26","11.6800","5187431.0000","11.6300","11.8400","11.6300"
"2017/06/23","11.5600","6861276.0000","11.6000","11.7000","11.4950"
"2017/06/22","11.5700","4758583.0000","11.6500","11.7000","11.4850"
"2017/06/21","11.6700","2671011.0000","11.9300","11.9400","11.6400"
"2017/06/20","11.9000","2304956.0000","11.8900","11.9100","11.7800"
"2017/06/19","11.9100","2658987.0000","11.9300","11.9700","11.8550"
"2017/06/16","11.9200","7206402.0000","11.9400","11.9800","11.8600"
"2017/06/15","11.9200","5362684.0000","11.8200","12.0450","11.7610"
"2017/06/14","11.9100","4336776.0000","11.9700","12.0500","11.8750"
"2017/06/13","11.9300","4702860.0000","11.7100","11.9600","11.6700"
"2017/06/12","11.7500","4502532.0000","11.7300","11.8300","11.6500"
"2017/06/09","11.7200","2672428.0000","11.5300","11.7200","11.5300"
"2017/06/08","11.5600","3943757.0000","11.5600","11.6000","11.4300"
"2017/06/07","11.5700","5520727.0000","11.9200","11.9200","11.5500"
"2017/06/06","11.9100","7884821.0000","11.8000","11.9950","11.6500"
