"date","close","volume","open","high","low"

"2017/09/01","227.7300","1631578.0000","229.8900","231.9800","226.5700"
"2017/08/31","229.4800","2582896.0000","225.1100","231.4750","225.0087"
"2017/08/30","223.8600","1524329.0000","223.4300","225.3500","221.8500"
"2017/08/29","223.5800","1335305.0000","223.9400","224.1000","220.2200"
"2017/08/28","223.9400","1519939.0000","221.8200","224.2300","221.8100"
"2017/08/25","221.8100","1239203.0000","223.9000","224.2100","221.8100"
"2017/08/24","223.7000","1607531.0000","222.6800","226.0000","222.3000"
"2017/08/23","222.2700","1464992.0000","223.3900","224.4500","221.8500"
"2017/08/22","223.7500","1835445.0000","223.5000","225.1900","222.0500"
"2017/08/21","222.9700","2320027.0000","223.8800","225.2400","222.4100"
"2017/08/18","223.9900","2005506.0000","224.4000","225.6450","223.0800"
"2017/08/17","224.7700","3025088.0000","227.8900","229.1000","224.1100"
"2017/08/16","227.9900","3546662.0000","231.1200","231.6200","227.0700"
"2017/08/15","231.1400","1961146.0000","232.6900","233.4700","230.9400"
"2017/08/14","232.6400","1437569.0000","233.6500","235.8300","232.4917"
"2017/08/11","232.8800","1820899.0000","231.9300","235.0000","231.2800"
"2017/08/10","232.2000","2385450.0000","237.3400","237.8400","231.8400"
"2017/08/09","237.9700","2019319.0000","239.7400","241.6750","237.7100"
"2017/08/08","239.7400","2728184.0000","241.9700","245.5000","239.4700"
"2017/08/07","241.2200","1515996.0000","242.6900","243.2100","240.9500"
"2017/08/04","242.6500","3014719.0000","249.5300","249.5600","241.7400"
"2017/08/03","250.3600","3414251.0000","248.0000","252.2700","243.0100"
"2017/08/02","250.1800","1816063.0000","252.3000","252.6800","249.2000"
"2017/08/01","252.2000","1994418.0000","252.2300","254.0200","251.7600"
"2017/07/31","252.3300","1420638.0000","254.1000","255.5200","252.1400"
"2017/07/28","253.0100","1550066.0000","254.3000","254.9900","251.7100"
"2017/07/27","254.1600","1908361.0000","255.9900","256.1500","252.5000"
"2017/07/26","256.1500","1293922.0000","254.6100","256.6200","253.6700"
"2017/07/25","254.6200","2325603.0000","254.0000","256.8000","252.6400"
"2017/07/24","253.5200","1832919.0000","250.5300","254.5250","249.4000"
"2017/07/21","250.9700","2509861.0000","248.9900","251.7900","248.8800"
"2017/07/20","249.0700","2398072.0000","247.4200","251.6300","247.0899"
"2017/07/19","246.4100","1149727.0000","245.7300","247.7700","245.1200"
"2017/07/18","245.7300","1428708.0000","247.3300","247.4400","244.6250"
"2017/07/17","247.5300","1438433.0000","246.7900","249.3100","246.2400"
"2017/07/14","245.8500","991375.0000","243.6000","246.7700","243.6000"
"2017/07/13","244.1300","1477386.0000","245.3300","245.7500","242.7900"
"2017/07/12","245.5900","1459713.0000","243.2600","247.2800","242.8100"
"2017/07/11","242.1200","1604152.0000","240.5600","243.4900","240.5600"
"2017/07/10","241.1700","1099651.0000","240.7400","242.1000","240.0100"
"2017/07/07","240.6900","1626392.0000","241.9300","242.6044","239.1600"
"2017/07/06","241.5500","1560740.0000","243.0100","244.5400","241.4600"
"2017/07/05","244.2900","1875178.0000","243.3700","245.8500","242.4900"
"2017/07/03","243.9800","698943.0000","244.0000","245.5000","243.4100"
"2017/06/30","243.0900","1724608.0000","244.2700","244.9600","242.3000"
"2017/06/29","244.0200","1882330.0000","246.7800","248.2000","242.9400"
"2017/06/28","246.7100","1713052.0000","247.3700","249.2100","246.2100"
