"date","close","volume","open","high","low"

"2017/09/01","118.6300","908724.0000","117.0600","118.8600","116.6300"
"2017/08/31","116.2600","908656.0000","116.2200","117.1500","115.9600"
"2017/08/30","115.1700","717582.0000","114.5500","115.5400","113.8600"
"2017/08/29","114.4600","627342.0000","114.8000","114.8000","113.4700"
"2017/08/28","115.4300","593630.0000","115.9300","116.0000","114.4600"
"2017/08/25","114.9500","605595.0000","115.1300","115.4600","114.2600"
"2017/08/24","114.8600","948052.0000","115.6300","116.2700","114.7200"
"2017/08/23","115.3900","609259.0000","115.5700","116.4100","115.1050"
"2017/08/22","115.8200","974201.0000","113.8900","116.1900","113.7700"
"2017/08/21","113.4800","686049.0000","112.6500","113.5900","112.2300"
"2017/08/18","112.5900","872610.0000","112.0400","113.3200","111.5600"
"2017/08/17","112.1100","1037981.0000","113.9400","113.9400","112.0000"
"2017/08/16","113.4200","1288747.0000","112.0000","113.8400","111.2600"
"2017/08/15","111.8800","1179019.0000","111.0000","112.4300","110.0100"
"2017/08/14","110.8300","1619739.0000","110.1400","111.4800","110.0450"
"2017/08/11","109.3600","2137729.0000","110.0000","110.2800","108.6000"
"2017/08/10","110.9500","2603193.0000","112.5000","112.5100","110.2500"
"2017/08/09","113.1600","2602471.0000","114.6600","115.7089","111.2300"
"2017/08/08","115.4100","5311717.0000","119.1300","119.1700","113.6800"
"2017/08/07","123.0800","3796445.0000","120.6200","123.4800","120.0000"
"2017/08/04","119.6000","1077214.0000","118.9700","119.9900","118.7500"
"2017/08/03","118.8000","1321714.0000","119.7900","119.9600","118.4800"
"2017/08/02","119.4500","1527094.0000","117.5000","119.9600","117.0500"
"2017/08/01","117.4300","901986.0000","116.0600","117.6800","115.3000"
"2017/07/31","115.8000","926758.0000","116.8000","117.0100","115.7300"
"2017/07/28","116.5000","1388316.0000","116.3600","116.9800","115.9000"
"2017/07/27","116.3700","955934.0000","117.8100","118.3100","115.2000"
"2017/07/26","117.2000","870670.0000","119.1600","119.2800","117.0000"
"2017/07/25","118.8000","1127588.0000","119.5000","119.5000","118.4005"
"2017/07/24","118.6000","1596553.0000","118.5300","119.3900","117.8400"
"2017/07/21","118.3400","1017175.0000","117.9900","118.8790","117.5900"
"2017/07/20","117.9100","918867.0000","119.0000","119.1600","117.6400"
"2017/07/19","119.1600","1215388.0000","117.9700","119.5900","116.6600"
"2017/07/18","117.7300","688937.0000","116.8200","118.1800","116.1700"
"2017/07/17","116.8600","863670.0000","117.6600","117.7740","116.4600"
"2017/07/14","117.5700","1723286.0000","118.3700","118.9900","117.0100"
"2017/07/13","117.6800","2336951.0000","116.6000","119.0000","116.6000"
"2017/07/12","116.5400","2115514.0000","113.5000","117.1300","113.3800"
"2017/07/11","112.9500","1321835.0000","111.6800","113.0800","110.8500"
"2017/07/10","111.3400","1443882.0000","110.2100","111.9000","110.0000"
"2017/07/07","109.9900","1557460.0000","108.3200","110.4500","108.1500"
"2017/07/06","108.0500","1174366.0000","107.8600","109.0800","107.3000"
"2017/07/05","108.0200","1356683.0000","106.0000","108.6600","106.0000"
"2017/07/03","106.0300","555424.0000","106.3400","106.5300","105.3400"
"2017/06/30","105.5400","807151.0000","105.2200","106.5300","105.1200"
"2017/06/29","104.6700","986082.0000","107.1800","107.2600","103.7650"
"2017/06/28","106.9200","1201548.0000","105.1300","107.3299","104.6300"
"2017/06/27","104.4700","1313088.0000","105.3900","105.6900","104.3000"
"2017/06/26","105.0200","1826467.0000","105.1100","106.5600","104.2500"
"2017/06/23","104.8500","3099744.0000","105.3100","105.9100","104.4200"
"2017/06/22","105.2000","1180200.0000","106.4700","106.7000","105.1100"
"2017/06/21","106.1900","1274057.0000","107.5700","107.6200","105.8700"
"2017/06/20","107.7400","805427.0000","107.8500","109.1400","107.0000"
"2017/06/19","108.3300","1099571.0000","108.5000","109.2300","106.9000"
"2017/06/16","108.0900","1704147.0000","106.2000","108.1200","105.8500"
"2017/06/15","106.0500","2579368.0000","107.9600","108.0000","103.6301"
"2017/06/14","109.2700","1710526.0000","112.6100","112.6550","108.5600"
"2017/06/13","112.6600","1111664.0000","112.3300","112.9100","110.9800"
"2017/06/12","111.1900","1803751.0000","115.2200","115.4000","110.9700"
"2017/06/09","115.4000","1131451.0000","114.7500","116.6399","114.0900"
"2017/06/08","114.2700","1438941.0000","113.0000","114.7600","112.3700"
"2017/06/07","112.8000","1068396.0000","112.6800","113.1700","112.3800"
"2017/06/06","112.6800","755203.0000","113.5000","113.9600","112.6200"
"2017/06/05","113.6100","689495.0000","113.8000","114.4900","113.1600"
"2017/06/02","114.0900","604337.0000","113.4000","114.4000","113.0600"
"2017/06/01","113.3600","813201.0000","113.6800","114.2860","112.8900"
