"date","close","volume","open","high","low"

"2017/09/01","176.3800","665393.0000","176.8100","177.4000","173.8800"
"2017/08/31","176.7400","999270.0000","175.0500","177.0700","173.9350"
"2017/08/30","174.8800","589391.0000","173.5500","174.9050","172.9100"
"2017/08/29","173.9900","698995.0000","173.0300","174.6100","172.2700"
"2017/08/28","175.1100","597271.0000","173.0200","175.9250","173.0200"
"2017/08/25","172.5500","822646.0000","175.4100","176.2000","171.5500"
"2017/08/24","175.3100","926324.0000","174.0000","175.9600","173.3500"
"2017/08/23","172.8500","867957.0000","172.3300","173.8400","170.7900"
"2017/08/22","172.5500","900464.0000","167.9700","173.0000","166.6400"
"2017/08/21","167.9800","949876.0000","168.5100","169.6399","165.1790"
"2017/08/18","168.6100","1393519.0000","169.9600","172.1800","167.2738"
"2017/08/17","169.3600","1952172.0000","177.9000","177.9000","169.1300"
"2017/08/16","178.4600","628674.0000","178.8900","179.7619","176.8074"
"2017/08/15","177.9700","893545.0000","174.8800","178.5800","174.1800"
"2017/08/14","174.1600","610680.0000","173.9100","175.3569","173.6800"
"2017/08/11","173.5600","719970.0000","171.7600","175.1600","171.4800"
"2017/08/10","171.2300","1084664.0000","174.9200","174.9200","171.1500"
"2017/08/09","175.7700","992181.0000","173.8400","176.4400","172.3700"
"2017/08/08","173.6200","1085556.0000","173.8900","176.8400","173.3500"
"2017/08/07","174.0100","1088081.0000","169.4900","174.8200","169.4850"
"2017/08/04","169.3000","508584.0000","170.8800","170.9990","168.5700"
"2017/08/03","170.4600","748263.0000","168.0900","170.6200","167.5900"
"2017/08/02","167.9900","725790.0000","170.2800","171.0500","166.3800"
"2017/08/01","169.4300","1286548.0000","167.4100","171.6500","167.3700"
"2017/07/31","167.2300","1291312.0000","173.3400","173.7500","166.1100"
"2017/07/28","173.0600","2454712.0000","168.1000","173.7900","160.3700"
"2017/07/27","157.2600","1487452.0000","160.5200","160.6484","155.5500"
"2017/07/26","158.6900","809266.0000","158.6600","159.9290","157.3700"
"2017/07/25","158.5600","1062828.0000","161.8100","161.8100","158.4500"
"2017/07/24","161.1900","833354.0000","158.6700","161.8100","158.6500"
"2017/07/21","158.8700","837675.0000","160.3100","160.9300","158.4200"
"2017/07/20","160.1700","946606.0000","159.5000","160.5400","158.1000"
"2017/07/19","159.2800","892318.0000","157.0900","159.4500","156.7600"
"2017/07/18","156.0200","556008.0000","155.9900","156.7500","155.1100"
"2017/07/17","156.2100","1003280.0000","155.0100","157.8600","154.9000"
"2017/07/14","154.3000","517870.0000","152.1400","154.8200","152.1200"
"2017/07/13","152.1900","409836.0000","153.1300","153.6500","150.7600"
"2017/07/12","152.5100","682727.0000","152.0700","152.9300","151.1400"
"2017/07/11","151.5900","754943.0000","151.5600","152.2600","150.3300"
"2017/07/10","151.5800","533016.0000","152.1000","153.4800","150.5600"
"2017/07/07","151.9500","476944.0000","150.9800","152.8000","150.9200"
"2017/07/06","149.7400","679495.0000","151.1200","151.4800","149.5000"
"2017/07/05","151.9400","551948.0000","151.5200","152.8000","149.1600"
"2017/07/03","149.0300","340637.0000","151.0600","152.2300","148.9500"
"2017/06/30","150.1200","577216.0000","148.3300","150.9500","148.3300"
"2017/06/29","148.6200","781052.0000","151.5000","152.0900","148.0110"
"2017/06/28","152.2400","728066.0000","150.1900","152.5900","149.6200"
"2017/06/27","149.3400","883092.0000","151.1500","152.8300","148.9400"
"2017/06/26","151.6700","720893.0000","153.6600","154.7900","151.4500"
"2017/06/23","153.5000","2206218.0000","154.8500","154.8500","151.2400"
"2017/06/22","149.6900","654855.0000","150.0700","150.9800","148.8500"
"2017/06/21","149.4200","670204.0000","147.1600","149.7700","147.1525"
"2017/06/20","146.9900","943850.0000","150.0800","150.8400","146.7700"
"2017/06/19","149.7000","1635917.0000","146.3200","152.1400","146.2500"
"2017/06/16","145.2600","17940260.0000","144.7800","145.5100","144.0100"
"2017/06/15","144.0200","1055616.0000","142.9500","144.1700","142.0100"
"2017/06/14","144.3000","867392.0000","145.3800","145.8100","142.9900"
"2017/06/13","144.3800","1023935.0000","144.1700","146.0300","142.0400"
"2017/06/12","143.4100","2236859.0000","147.3400","147.7900","139.0000"
"2017/06/09","148.8500","1150345.0000","152.1600","153.9300","146.1100"
"2017/06/08","151.8200","775953.0000","149.2500","151.9100","148.4600"
"2017/06/07","149.1300","652331.0000","149.1500","149.6400","148.5700"
"2017/06/06","148.6200","534459.0000","148.7400","149.5300","147.4000"
"2017/06/05","148.8300","830633.0000","150.0000","150.5600","148.6000"
"2017/06/02","149.7000","1215671.0000","146.5700","150.3550","146.5200"
