"date","close","volume","open","high","low"

"2017/09/01","79.1500","517796.0000","79.0300","79.4000","78.8450"
"2017/08/31","78.7100","488028.0000","78.7100","79.0000","78.4500"
"2017/08/30","78.3000","292355.0000","77.7400","78.3400","77.4500"
"2017/08/29","77.7700","271894.0000","77.7200","78.3400","77.7000"
"2017/08/28","78.0500","425135.0000","77.9700","78.2500","77.8200"
"2017/08/25","77.6200","376784.0000","77.5800","77.8100","77.4300"
"2017/08/24","77.1500","360224.0000","77.2400","77.5400","76.8200"
"2017/08/23","77.0900","611622.0000","77.8100","77.8528","76.7900"
"2017/08/22","78.0800","508140.0000","77.6800","78.3200","77.2800"
"2017/08/21","77.4800","382553.0000","78.2000","78.3200","77.4200"
"2017/08/18","78.1700","327935.0000","78.5800","78.8700","78.0600"
"2017/08/17","78.8300","493709.0000","79.1800","79.9600","78.7600"
"2017/08/16","79.2900","404052.0000","79.0400","79.6300","78.8900"
"2017/08/15","78.9500","271390.0000","79.5000","79.5000","78.7400"
"2017/08/14","79.4700","420939.0000","79.8400","80.0300","79.0800"
"2017/08/11","79.2800","354138.0000","78.9300","79.7700","78.6300"
"2017/08/10","78.9200","460653.0000","80.1900","80.4800","78.8600"
"2017/08/09","80.5900","354308.0000","81.3100","81.5200","80.4600"
"2017/08/08","81.3700","468618.0000","81.9100","82.2540","81.3100"
"2017/08/07","81.9900","321388.0000","81.3300","82.0600","80.8200"
"2017/08/04","81.3200","343885.0000","80.8600","81.3200","80.4600"
"2017/08/03","80.7600","372257.0000","80.9900","81.1100","80.1400"
"2017/08/02","80.8500","521661.0000","81.1800","81.3800","79.8600"
"2017/08/01","81.4700","878762.0000","81.6300","82.6200","80.9401"
"2017/07/31","81.2400","615596.0000","81.5600","81.8900","80.7400"
"2017/07/28","81.4000","736598.0000","81.3100","82.0000","80.2300"
"2017/07/27","81.2000","1371760.0000","78.9900","81.2600","77.6200"
"2017/07/26","78.4900","853370.0000","79.0300","79.4000","78.4800"
"2017/07/25","79.1000","681675.0000","80.8200","81.0700","78.7500"
"2017/07/24","80.3100","286016.0000","80.3400","80.6950","79.6900"
"2017/07/21","80.4100","401381.0000","80.8100","81.2800","80.1200"
"2017/07/20","81.0900","514073.0000","80.8700","81.1350","80.1200"
"2017/07/19","80.7000","303061.0000","80.7100","81.0000","80.5000"
"2017/07/18","80.6000","374270.0000","80.6000","80.8900","80.1500"
"2017/07/17","80.8300","295821.0000","80.7800","80.8500","80.4600"
"2017/07/14","80.7700","438662.0000","80.8100","81.2900","80.4500"
"2017/07/13","80.7900","541626.0000","81.9800","82.6900","80.6100"
"2017/07/12","81.9900","375017.0000","82.0400","82.5300","81.5900"
"2017/07/11","81.4700","354688.0000","81.3800","81.8400","81.0300"
"2017/07/10","81.5300","472625.0000","81.3500","81.8500","81.0900"
"2017/07/07","81.2200","405522.0000","80.8500","81.6400","80.2200"
"2017/07/06","80.6600","424548.0000","81.9200","81.9200","80.5000"
"2017/07/05","82.1400","416866.0000","81.5500","82.9000","81.3600"
"2017/07/03","81.3700","217195.0000","81.5700","81.8350","81.3500"
"2017/06/30","81.1200","457216.0000","80.0900","81.5000","80.0900"
"2017/06/29","79.8200","542950.0000","81.2600","81.2600","78.9100"
"2017/06/28","81.2400","264581.0000","81.1200","81.8300","80.8800"
"2017/06/27","80.5900","456052.0000","81.2500","81.6200","80.4900"
"2017/06/26","81.4100","236804.0000","81.6700","81.9600","81.2700"
"2017/06/23","81.4500","590621.0000","81.2100","82.1800","80.9900"
"2017/06/22","81.1900","298959.0000","81.4900","81.9000","81.1700"
"2017/06/21","81.5100","437801.0000","82.1000","82.1000","81.3400"
