"date","close","volume","open","high","low"

"2017/09/01","177.1100","179818.0000","177.3100","178.5000","176.5600"
"2017/08/31","176.6900","306332.0000","174.9300","177.0600","174.3050"
"2017/08/30","174.0400","172616.0000","173.8700","174.8100","173.3600"
"2017/08/29","173.8800","203183.0000","171.7600","174.2600","171.2600"
"2017/08/28","173.9900","156372.0000","175.9000","175.9000","173.1400"
"2017/08/25","174.8800","244209.0000","175.6000","176.9100","174.0100"
"2017/08/24","174.7300","259807.0000","174.9000","175.2600","172.6600"
"2017/08/23","174.1900","258181.0000","174.2900","175.5500","173.6700"
"2017/08/22","175.4000","223106.0000","172.8300","175.6100","172.7500"
"2017/08/21","172.0500","192707.0000","172.8200","172.8200","171.0700"
"2017/08/18","172.8400","267741.0000","172.6100","174.2300","171.5900"
"2017/08/17","173.0000","464465.0000","177.4300","177.5984","172.8200"
"2017/08/16","178.3900","181748.0000","180.1000","181.3200","178.0750"
"2017/08/15","178.9000","173342.0000","179.1100","179.4800","177.8100"
"2017/08/14","178.3900","231556.0000","177.2300","179.7900","177.2300"
"2017/08/11","175.2300","414171.0000","176.0200","177.8050","174.1400"
"2017/08/10","175.4200","312238.0000","178.8200","180.0000","175.1500"
"2017/08/09","180.5300","325038.0000","180.5200","180.8100","179.0900"
"2017/08/08","181.5600","320229.0000","180.5200","183.0500","180.2500"
"2017/08/07","180.6300","347891.0000","180.6300","182.1000","179.3650"
"2017/08/04","180.6400","276755.0000","181.1900","181.8700","179.0800"
"2017/08/03","180.1800","419564.0000","180.6500","181.0000","179.0012"
"2017/08/02","180.6700","380487.0000","185.0800","185.7950","180.1200"
"2017/08/01","185.9800","384233.0000","187.0800","187.0800","184.8200"
"2017/07/31","185.8300","582831.0000","178.9500","186.4550","177.0300"
"2017/07/28","178.6500","404580.0000","178.3700","180.6100","177.0100"
"2017/07/27","178.8400","472389.0000","184.2200","184.7100","177.6300"
"2017/07/26","181.5900","281773.0000","181.5700","182.6600","180.3400"
"2017/07/25","181.4600","265341.0000","180.9700","182.6700","179.8400"
"2017/07/24","179.0500","242234.0000","178.0000","180.1700","178.0000"
"2017/07/21","178.3500","213140.0000","177.7500","179.0800","176.7900"
"2017/07/20","177.9100","424637.0000","177.7000","179.8100","177.2800"
"2017/07/19","176.9900","356234.0000","177.4100","177.8550","176.7100"
"2017/07/18","176.9900","263065.0000","175.8800","177.5400","175.0800"
"2017/07/17","176.3000","242097.0000","175.9900","176.7400","175.5400"
"2017/07/14","175.5300","331622.0000","174.5500","176.1100","174.3450"
"2017/07/13","175.1500","404733.0000","174.4700","175.6000","172.7800"
"2017/07/12","174.0300","468789.0000","172.2900","174.7800","171.7100"
"2017/07/11","171.6500","324970.0000","172.9100","173.4400","170.3200"
"2017/07/10","172.7100","474736.0000","169.6900","174.0300","169.0000"
"2017/07/07","169.8700","372917.0000","167.1600","170.8100","167.1600"
"2017/07/06","166.1800","542823.0000","169.9200","170.4800","166.0300"
"2017/07/05","170.2900","508789.0000","169.2300","171.5899","168.0900"
"2017/07/03","168.3200","226839.0000","167.4700","169.9800","167.3800"
"2017/06/30","165.8600","318233.0000","166.1000","167.6000","165.7850"
"2017/06/29","165.0100","464777.0000","168.3900","169.1600","164.1100"
"2017/06/28","165.9400","429869.0000","164.1200","166.9500","163.2900"
