"date","close","volume","open","high","low"

"2017/09/01","145.6500","992842.0000","145.6600","146.1100","145.0400"
"2017/08/31","145.3700","1192697.0000","146.0000","146.0000","145.2400"
"2017/08/30","145.5100","879193.0000","145.3500","145.8400","145.1200"
"2017/08/29","145.3700","458583.0000","144.7900","145.4800","144.6400"
"2017/08/28","145.7800","540607.0000","146.6800","146.7000","145.3489"
"2017/08/25","146.0100","953222.0000","145.0500","146.4700","145.0500"
"2017/08/24","145.2300","953793.0000","145.4700","145.8100","144.9100"
"2017/08/23","145.1600","2214394.0000","145.3600","145.7600","144.9500"
"2017/08/22","145.9500","1232427.0000","145.8400","146.8000","145.4000"
"2017/08/21","145.1500","1584693.0000","145.7400","145.7500","144.9200"
"2017/08/18","145.7600","1402444.0000","145.4300","146.3500","144.8000"
"2017/08/17","145.5400","1192116.0000","147.8800","148.1000","145.5300"
"2017/08/16","148.0800","1232347.0000","147.0000","148.1600","146.9100"
"2017/08/15","146.8100","1319153.0000","146.5000","146.9100","145.8000"
"2017/08/14","146.6400","1337846.0000","145.4800","147.4300","145.3700"
"2017/08/11","144.6000","1068556.0000","143.8100","145.7900","143.8100"
"2017/08/10","145.0200","1054209.0000","145.5200","146.0000","144.8900"
"2017/08/09","146.2500","1163569.0000","145.8400","146.3600","145.5650"
"2017/08/08","145.8500","866114.0000","147.2100","147.2900","145.6300"
"2017/08/07","147.3000","866605.0000","147.9400","147.9400","146.9300"
"2017/08/04","147.2200","804503.0000","147.4100","148.0450","147.0200"
"2017/08/03","146.9200","1860314.0000","148.4700","148.6000","146.7000"
"2017/08/02","148.1100","3983679.0000","148.3400","148.9000","146.9800"
"2017/08/01","148.9200","4473955.0000","148.0000","149.6400","146.1500"
"2017/07/31","142.1500","1828792.0000","144.1800","144.2297","141.8800"
"2017/07/28","143.4900","928916.0000","143.9800","144.1900","142.6200"
"2017/07/27","143.6500","1243171.0000","144.0800","144.3000","142.7100"
"2017/07/26","143.9000","1108143.0000","144.9600","145.1600","143.8250"
"2017/07/25","145.0400","1284716.0000","145.9900","146.5500","144.7300"
"2017/07/24","144.9400","1308235.0000","145.3300","145.3300","144.3200"
"2017/07/21","145.6400","1226559.0000","145.8900","145.8900","144.6500"
"2017/07/20","146.0100","1290686.0000","146.0200","146.3400","145.1300"
"2017/07/19","146.2100","1242348.0000","145.1800","146.2100","144.8200"
"2017/07/18","145.2400","757260.0000","144.5900","145.5000","144.5900"
"2017/07/17","145.5500","1195100.0000","145.4300","146.0800","145.2400"
"2017/07/14","145.5700","1014030.0000","144.6600","145.7800","144.3550"
"2017/07/13","144.3700","1005114.0000","143.9000","144.6800","143.2900"
"2017/07/12","143.7300","949426.0000","143.2500","144.2400","143.1800"
"2017/07/11","142.7700","645770.0000","143.6200","143.7200","142.1900"
"2017/07/10","143.5000","591096.0000","143.5400","144.5200","143.0800"
"2017/07/07","144.0100","689284.0000","142.4300","144.1300","142.0750"
"2017/07/06","142.1300","533625.0000","142.3100","143.4400","141.9900"
"2017/07/05","142.6100","719366.0000","144.1500","144.4881","142.4500"
"2017/07/03","144.2900","411641.0000","143.7300","144.7400","143.5000"
"2017/06/30","143.0600","938130.0000","141.9700","143.8600","141.8900"
"2017/06/29","141.7700","892333.0000","144.1900","144.4600","140.7800"
"2017/06/28","144.8400","870243.0000","145.1700","145.2500","144.4010"
"2017/06/27","143.8300","796569.0000","145.0500","145.5100","143.8300"
"2017/06/26","144.9100","1150890.0000","145.0300","145.5400","144.5800"
"2017/06/23","144.9400","4010208.0000","144.6000","145.0300","143.8100"
"2017/06/22","144.2500","1008193.0000","143.3200","144.5300","143.1950"
"2017/06/21","143.4800","749914.0000","144.9100","145.6500","143.3100"
"2017/06/20","144.7400","801449.0000","145.2400","145.8000","144.6200"
"2017/06/19","146.1500","1268559.0000","146.3700","147.3800","145.8200"
"2017/06/16","145.5100","1735745.0000","145.6600","146.0000","144.6510"
"2017/06/15","145.2100","2038252.0000","144.7900","146.5400","144.7050"
"2017/06/14","145.5600","774621.0000","146.2700","146.3500","144.8100"
"2017/06/13","146.2700","831484.0000","144.4200","146.3200","144.0450"
"2017/06/12","144.4300","1199730.0000","145.5000","146.1804","144.2300"
"2017/06/09","145.8500","1152544.0000","143.6700","146.0900","143.6700"
"2017/06/08","143.5000","1062381.0000","143.0700","144.1600","142.5300"
"2017/06/07","143.3600","883047.0000","144.5800","144.6800","143.1750"
"2017/06/06","144.1200","770800.0000","144.4800","144.8300","143.8500"
"2017/06/05","144.9600","1291917.0000","146.6100","146.8300","144.8700"
"2017/06/02","146.7900","1192603.0000","145.4700","147.5000","144.7750"
"2017/06/01","145.0800","1085079.0000","144.4600","145.9300","144.0000"
"2017/05/31","144.0600","1495216.0000","143.8300","144.3090","142.9800"
"2017/05/30","143.9700","885206.0000","143.6500","144.3000","143.3400"
"2017/05/26","143.9100","694529.0000","143.8400","144.2700","143.5500"
"2017/05/25","144.1200","781370.0000","144.1500","144.5100","143.3200"
"2017/05/24","144.1400","1081478.0000","143.2800","144.9200","142.8800"
"2017/05/23","142.8300","639108.0000","143.5800","143.5800","142.5900"
"2017/05/22","143.3100","818406.0000","143.8500","143.8900","142.8600"
"2017/05/19","143.1000","1340076.0000","142.9900","143.9600","142.5600"
"2017/05/18","142.7100","1271857.0000","142.6500","143.5300","141.3400"
"2017/05/17","142.5700","1349839.0000","143.7000","144.3450","142.5400"
"2017/05/16","144.3500","2119204.0000","142.7300","145.2400","142.6400"
"2017/05/15","145.0800","685957.0000","144.5100","145.2200","144.1200"
"2017/05/12","144.0700","1288056.0000","143.8600","145.1100","143.7200"
"2017/05/11","143.8600","1065764.0000","144.9900","145.0463","143.2900"
"2017/05/10","145.2500","928282.0000","145.4500","145.6000","144.6400"
"2017/05/09","145.3000","943767.0000","146.2000","146.4400","144.9800"
"2017/05/08","146.1900","1589901.0000","146.8200","147.3900","145.9300"
"2017/05/05","147.2200","2316929.0000","145.0000","147.6550","145.0000"
"2017/05/04","144.7600","2303220.0000","143.9100","145.5800","143.9000"
"2017/05/03","143.8200","1906723.0000","143.4900","144.3200","143.2600"
"2017/05/02","143.5200","2492276.0000","142.5000","143.5800","142.0100"
"2017/05/01","142.0300","1671428.0000","141.5500","142.1400","140.0100"
"2017/04/28","140.5000","1910933.0000","141.0000","141.1899","139.3500"
"2017/04/27","141.1000","1855137.0000","141.2800","141.8500","137.7200"
"2017/04/26","141.5800","1511287.0000","141.3300","142.4500","140.7510"
"2017/04/25","141.7300","1189378.0000","140.2200","141.8600","140.1400"
"2017/04/24","139.7600","1006799.0000","137.9100","139.9000","137.9100"
"2017/04/21","137.3000","1121329.0000","136.8700","137.6600","136.8200"
"2017/04/20","136.9000","985329.0000","135.6200","137.3400","135.2000"
"2017/04/19","134.9600","577819.0000","135.7300","136.0399","134.7800"
"2017/04/18","135.2700","701020.0000","135.0400","136.0200","134.7200"
"2017/04/17","135.8600","1092375.0000","134.7800","135.8950","134.4200"
"2017/04/13","134.3000","626943.0000","135.3300","135.5800","134.1700"
"2017/04/12","135.5100","899936.0000","136.4600","136.4750","135.3500"
"2017/04/11","136.4200","1003978.0000","135.7900","136.4697","135.4000"
"2017/04/10","135.7600","859032.0000","135.2200","136.1100","135.0750"
"2017/04/07","135.0100","2908220.0000","134.7800","135.5500","134.3300"
"2017/04/06","135.1900","860391.0000","135.4800","135.8300","135.0000"
"2017/04/05","135.2400","930793.0000","135.8400","137.1000","135.0200"
"2017/04/04","135.3500","1109759.0000","135.0800","135.3900","134.6750"
"2017/04/03","134.9500","1624194.0000","135.7000","136.4350","134.0900"
"2017/03/31","135.2900","1845147.0000","135.1300","136.3300","135.1200"
"2017/03/30","135.6000","2069454.0000","135.8000","136.8500","135.6000"
"2017/03/29","136.7800","740010.0000","136.7600","137.3000","136.2300"
"2017/03/28","137.2500","1013963.0000","135.8400","137.5800","135.8400"
"2017/03/27","135.9200","2522688.0000","133.8700","136.2100","133.6301"
"2017/03/24","134.9400","1313391.0000","136.8300","137.4300","134.6700"
"2017/03/23","137.0500","1188701.0000","136.1600","138.0100","135.3000"
"2017/03/22","136.4100","840979.0000","136.3700","137.0000","135.0100"
"2017/03/21","136.4500","1548190.0000","138.6900","138.9500","136.0000"
"2017/03/20","138.6900","1248696.0000","139.4900","139.7000","138.3200"
"2017/03/17","139.5300","2174015.0000","138.5600","139.6100","138.4900"
"2017/03/16","137.9700","1462705.0000","138.2500","138.2500","137.0300"
"2017/03/15","137.9900","2460553.0000","136.8900","138.4300","136.1700"
"2017/03/14","136.1800","1747497.0000","137.5400","137.5800","135.8800"
"2017/03/13","137.8200","1443125.0000","138.9000","139.2900","136.9300"
"2017/03/10","138.7700","1475505.0000","139.4100","139.6000","138.2500"
"2017/03/09","138.5800","1570783.0000","139.6000","140.5100","138.0300"
"2017/03/08","139.5600","1183360.0000","139.7300","140.4200","139.1500"
"2017/03/07","139.6400","870704.0000","139.2200","139.8400","138.8500"
"2017/03/06","139.3100","974053.0000","139.0200","140.1100","138.6600"
"2017/03/03","139.5200","923872.0000","140.3400","140.8700","139.1301"
"2017/03/02","140.5700","1266057.0000","143.4100","143.4100","140.4100"
"2017/03/01","143.6900","1706981.0000","142.1300","144.0600","141.9800"
"2017/02/28","140.4700","1677831.0000","138.9300","140.7000","138.8000"
"2017/02/27","139.3800","1079405.0000","140.9300","141.2300","139.1200"
"2017/02/24","140.8600","890325.0000","140.0700","141.0100","139.6100"
"2017/02/23","140.3600","1434154.0000","140.9700","141.2100","139.3200"
"2017/02/22","140.3400","993314.0000","140.7700","141.3700","140.2800"
"2017/02/21","141.4700","1148242.0000","140.9800","141.8000","140.8300"
"2017/02/17","141.5000","706391.0000","141.9700","142.1400","141.1000"
"2017/02/16","141.8700","860870.0000","142.5700","143.1200","141.0600"
"2017/02/15","142.3800","1429025.0000","141.6700","142.9900","141.1900"
"2017/02/14","142.1300","2001527.0000","140.4000","142.2600","139.7500"
"2017/02/13","140.5000","1595098.0000","140.7500","141.2500","139.8500"
"2017/02/10","140.1300","2273358.0000","138.9000","140.4400","138.5400"
"2017/02/09","138.5400","1298011.0000","138.5800","139.4600","138.2200"
"2017/02/08","138.5900","1648993.0000","138.1800","138.8050","137.7200"
"2017/02/07","138.8000","1466876.0000","139.0900","139.4900","137.8800"
"2017/02/06","139.0500","808555.0000","140.0000","140.2700","138.6400"
"2017/02/03","140.1600","837335.0000","139.7700","140.2900","139.1500"
"2017/02/02","139.2800","1403480.0000","138.6800","139.8550","137.4600"
"2017/02/01","138.6800","1652320.0000","139.3200","140.2376","138.0000"
"2017/01/31","139.7600","2483750.0000","140.9900","141.2200","139.1400"
"2017/01/30","140.9900","2724918.0000","140.1000","141.8300","139.9100"
"2017/01/27","142.0100","5469500.0000","140.0000","142.4700","137.0500"
"2017/01/26","148.8100","1856079.0000","148.2400","149.4600","147.6800"
"2017/01/25","148.5300","1597841.0000","147.5000","148.7250","147.1500"
"2017/01/24","147.1300","2016408.0000","146.5500","147.4050","146.2600"
"2017/01/23","146.0700","1268383.0000","146.3900","146.8800","144.7700"
"2017/01/20","146.6200","1149990.0000","145.7000","146.7800","145.5900"
"2017/01/19","145.4700","1239435.0000","146.3600","146.6400","145.1700"
"2017/01/18","146.3300","1147937.0000","145.5600","146.3500","144.5600"
