"date","close","volume","open","high","low"

"2017/09/01","121.3000","382582.0000","121.3700","121.9450","120.7700"
"2017/08/31","121.3100","1034344.0000","119.7200","121.8200","119.5300"
"2017/08/30","119.4000","911447.0000","118.5600","119.8700","117.8700"
"2017/08/29","118.6500","704736.0000","119.3600","120.1200","118.6300"
"2017/08/28","119.3000","772196.0000","120.7000","120.8700","118.8900"
"2017/08/25","120.4900","485042.0000","121.9000","122.0000","120.4900"
"2017/08/24","121.2700","1282083.0000","121.2300","122.3300","120.9800"
"2017/08/23","120.9500","725277.0000","120.0300","121.1800","119.6900"
"2017/08/22","120.0600","641118.0000","121.0500","121.4900","119.8300"
"2017/08/21","121.0900","595426.0000","120.2800","121.2000","119.9300"
"2017/08/18","120.0100","558611.0000","121.3900","121.3900","119.4200"
"2017/08/17","121.6700","344118.0000","121.8600","122.6500","121.6500"
"2017/08/16","121.9000","375237.0000","121.7300","122.1700","121.3700"
"2017/08/15","121.4800","394504.0000","121.4500","121.6500","120.7400"
"2017/08/14","121.7400","350391.0000","120.0600","122.1100","120.0600"
"2017/08/11","119.5500","296731.0000","119.6800","120.3900","119.0500"
"2017/08/10","119.8900","352880.0000","120.6000","120.7301","119.6200"
"2017/08/09","120.8300","278758.0000","120.5900","121.4100","120.4000"
"2017/08/08","120.6200","369829.0000","119.9900","120.9800","119.7600"
"2017/08/07","120.5800","331698.0000","120.6600","120.7200","119.5500"
"2017/08/04","120.6100","353774.0000","120.9200","122.2100","120.2700"
"2017/08/03","120.7800","388709.0000","120.3400","121.8400","119.5400"
"2017/08/02","120.5200","312000.0000","120.5400","121.3100","120.0437"
"2017/08/01","121.0100","538782.0000","121.6900","123.8900","120.5000"
"2017/07/31","121.2500","467128.0000","120.7700","121.2800","120.0100"
"2017/07/28","120.4000","382110.0000","120.8300","121.3400","120.1600"
"2017/07/27","120.8500","410903.0000","120.4700","121.1400","119.6400"
"2017/07/26","120.8200","327487.0000","120.2900","121.1250","119.6200"
"2017/07/25","120.1400","434943.0000","120.8300","121.1800","119.8000"
"2017/07/24","120.5200","788835.0000","120.9900","121.3400","120.5000"
"2017/07/21","121.0000","742168.0000","122.0300","122.8300","120.4600"
"2017/07/20","122.0700","552163.0000","122.0800","123.1800","121.9500"
"2017/07/19","122.0900","343614.0000","120.9100","122.1700","120.6500"
"2017/07/18","120.7000","387384.0000","121.1400","121.2800","120.0600"
"2017/07/17","121.1300","323331.0000","120.0200","121.2350","118.4421"
"2017/07/14","120.0400","273052.0000","118.7700","120.0900","118.7700"
"2017/07/13","118.7300","315929.0000","119.1900","119.4950","118.6000"
"2017/07/12","119.0600","459144.0000","118.6300","119.8600","118.2200"
"2017/07/11","117.8500","437780.0000","117.4600","118.2400","116.2000"
"2017/07/10","117.2100","367644.0000","118.7300","119.3400","117.2100"
"2017/07/07","118.5300","391275.0000","118.1500","118.6500","117.7200"
"2017/07/06","118.1500","444551.0000","120.2300","120.5300","118.1500"
"2017/07/05","120.3500","538519.0000","120.9500","121.7000","120.0500"
"2017/07/03","120.9500","291739.0000","121.0000","121.1600","119.7200"
"2017/06/30","120.4700","787719.0000","119.2400","121.0900","118.9900"
"2017/06/29","118.9900","641158.0000","120.0700","120.4900","118.5800"
"2017/06/28","120.5300","713358.0000","121.3000","121.5500","120.3400"
"2017/06/27","121.6000","797245.0000","120.9000","122.2800","120.7500"
"2017/06/26","121.2800","929433.0000","121.0000","121.3800","120.4600"
"2017/06/23","120.6000","1661088.0000","120.7400","121.2500","120.3400"
"2017/06/22","120.7900","1181512.0000","119.1700","121.6250","118.3800"
