"date","close","volume","open","high","low"

"2017/09/01","176.9600","298639.0000","176.8300","178.8999","176.8300"
"2017/08/31","176.7900","511114.0000","174.9700","178.4100","174.5400"
"2017/08/30","174.4000","321463.0000","173.9700","175.4200","173.4400"
"2017/08/29","173.9900","316755.0000","173.7400","174.4700","172.3200"
"2017/08/28","174.7900","237170.0000","177.3000","177.4700","174.6400"
"2017/08/25","176.7500","278036.0000","176.1300","179.5100","175.2150"
"2017/08/24","175.4900","297718.0000","176.8100","178.7500","175.2000"
"2017/08/23","175.8900","511219.0000","179.8500","180.2500","175.1600"
"2017/08/22","181.0000","471244.0000","177.2300","181.4700","176.7500"
"2017/08/21","176.7200","576765.0000","178.4000","178.5000","175.2000"
"2017/08/18","178.3300","426940.0000","180.3500","181.0000","178.2000"
"2017/08/17","181.1500","655018.0000","182.7300","185.5800","181.1500"
"2017/08/16","183.3800","241540.0000","182.9400","184.7499","182.7000"
"2017/08/15","182.1400","329751.0000","186.6400","186.6400","181.9300"
"2017/08/14","186.6900","608430.0000","187.0500","188.3600","183.9000"
"2017/08/11","185.6900","376085.0000","184.5600","186.0700","182.9200"
"2017/08/10","185.0800","587415.0000","193.0000","193.6300","184.9201"
"2017/08/09","193.8800","362279.0000","196.5300","197.1900","193.1700"
"2017/08/08","196.5200","340239.0000","197.7500","199.0100","196.4100"
"2017/08/07","197.7600","365208.0000","199.6300","199.7069","197.2700"
"2017/08/04","199.8700","292715.0000","200.0200","200.2600","197.7600"
"2017/08/03","200.0000","259841.0000","200.0500","201.9100","198.4400"
"2017/08/02","200.8100","370737.0000","200.0400","202.5100","199.9300"
"2017/08/01","200.9500","535036.0000","203.5600","203.5600","198.3450"
"2017/07/31","202.6500","349749.0000","205.0000","205.0000","201.3800"
"2017/07/28","204.1100","326373.0000","203.2800","205.1300","202.6300"
"2017/07/27","203.3200","486237.0000","202.9400","203.7000","201.3800"
"2017/07/26","202.9500","498525.0000","206.0600","207.2800","201.9100"
"2017/07/25","206.2500","447167.0000","208.1200","208.8250","206.0500"
"2017/07/24","206.6800","390429.0000","205.7800","207.2700","205.5900"
"2017/07/21","205.2600","321825.0000","202.8200","205.4300","202.2700"
"2017/07/20","203.5000","385683.0000","204.3000","204.7350","201.4400"
"2017/07/19","204.1500","340113.0000","201.8500","205.3500","201.8500"
"2017/07/18","201.7500","396864.0000","200.5200","202.0500","199.0000"
"2017/07/17","201.9900","547344.0000","203.9700","206.1100","201.6100"
"2017/07/14","204.7000","851673.0000","203.8200","207.4800","203.8200"
"2017/07/13","203.3900","503821.0000","199.2000","204.0200","198.2500"
"2017/07/12","198.1800","355691.0000","200.2500","201.6000","197.4200"
"2017/07/11","199.4100","446096.0000","197.5700","200.0000","197.1950"
"2017/07/10","198.4300","694316.0000","198.1300","199.9800","196.9500"
"2017/07/07","198.5300","568298.0000","199.6800","200.5700","197.4100"
"2017/07/06","199.0200","540892.0000","200.7800","201.8400","198.8200"
"2017/07/05","200.8800","566430.0000","202.5800","203.6400","198.3000"
"2017/07/03","203.0700","514753.0000","204.6300","205.9800","200.6000"
"2017/06/30","203.2800","1067641.0000","200.0900","204.9500","199.3700"
"2017/06/29","198.5200","2261612.0000","194.0000","204.0000","191.1000"
"2017/06/28","179.7300","999439.0000","176.4400","181.2500","176.4400"
"2017/06/27","175.3300","613781.0000","176.5600","176.9900","174.7700"
"2017/06/26","176.5600","589536.0000","177.1900","178.9100","176.1100"
"2017/06/23","177.1500","690655.0000","176.4600","179.3499","175.9750"
"2017/06/22","176.7600","550908.0000","174.6400","179.0500","174.0700"
"2017/06/21","174.7500","426776.0000","176.5500","177.0900","173.7000"
"2017/06/20","176.1100","393581.0000","178.1700","178.2800","175.6200"
"2017/06/19","178.3200","538339.0000","176.4300","178.3600","175.4800"
"2017/06/16","176.4900","692583.0000","179.5700","179.7600","174.1600"
"2017/06/15","178.7600","449309.0000","179.8900","180.4100","176.5700"
"2017/06/14","180.6200","752253.0000","180.0000","180.8400","176.3100"
"2017/06/13","179.2500","638161.0000","183.4100","184.0900","178.2900"
"2017/06/12","183.0600","1018441.0000","176.8800","184.0200","176.7000"
"2017/06/09","177.1800","817131.0000","174.2100","179.0050","174.0900"
"2017/06/08","173.2300","821312.0000","173.4000","174.4300","170.9300"
"2017/06/07","173.0100","690729.0000","171.9800","174.3200","170.9400"
"2017/06/06","172.1300","909229.0000","168.6500","173.1800","167.5600"
"2017/06/05","168.1600","568767.0000","166.8900","168.6000","165.9200"
"2017/06/02","167.7500","408472.0000","167.0500","169.7400","166.7550"
"2017/06/01","166.9900","1155544.0000","163.2900","167.9600","162.2200"
"2017/05/31","162.9100","1259253.0000","162.5400","163.5800","157.3300"
"2017/05/30","162.7800","902446.0000","163.9200","164.8200","161.8800"
"2017/05/26","164.8700","701446.0000","165.6000","166.4600","163.8700"
"2017/05/25","166.3100","612102.0000","168.3300","168.3300","165.6850"
"2017/05/24","167.8500","687270.0000","169.8800","170.2090","167.0900"
"2017/05/23","169.7300","794750.0000","170.2300","170.8375","168.5950"
"2017/05/22","170.1400","825076.0000","170.0000","171.9700","169.4500"
"2017/05/19","169.2400","698726.0000","170.1000","170.3200","167.8800"
"2017/05/18","169.1100","607668.0000","169.7600","170.3000","167.8900"
"2017/05/17","169.4500","629148.0000","170.6000","171.3200","168.5000"
"2017/05/16","172.7000","618405.0000","175.4000","175.4000","171.6900"
"2017/05/15","175.7700","1317550.0000","174.6800","177.6900","173.1500"
"2017/05/12","173.4300","2189476.0000","187.4000","187.6500","170.1600"
"2017/05/11","188.5800","1286471.0000","193.9200","194.7300","188.3900"
"2017/05/10","192.5800","1291722.0000","190.0600","192.7000","188.1000"
"2017/05/09","191.3700","997363.0000","187.7700","192.5300","186.5500"
"2017/05/08","186.8900","833701.0000","185.0900","187.5100","185.0900"
"2017/05/05","185.2000","759145.0000","180.3400","185.3200","179.7600"
"2017/05/04","179.8100","658498.0000","177.4000","180.9900","177.4000"
"2017/05/03","177.3100","655657.0000","178.1200","179.7200","177.1200"
"2017/05/02","178.6400","627587.0000","176.4800","178.7500","175.5000"
"2017/05/01","176.0800","571291.0000","176.4400","177.0500","175.0600"
"2017/04/28","176.1000","654970.0000","177.2100","177.3100","175.2400"
"2017/04/27","176.8500","537864.0000","176.1000","178.1500","174.9500"
"2017/04/26","176.5000","546721.0000","176.9200","178.8600","175.9000"
"2017/04/25","176.3200","859729.0000","177.6300","178.4500","175.1200"
